0,1,2,3
80870729.0,16093810,1000,2026-02-27T23:48:53Z
80870729.0,18429545,5000,2026-02-27T23:48:53Z
80870729.0,16544003,4200,2026-02-27T23:48:53Z
80870722.0,16093810,1000,2026-02-27T23:48:53Z
80870722.0,18429545,7000,2026-02-27T23:48:53Z
80870722.0,16544002,1500,2026-02-27T23:48:53Z
80870722.0,16544003,2000,2026-02-27T23:48:53Z
80870713.0,16093810,300,2026-02-27T23:48:53Z
80870713.0,18429545,5000,2026-02-27T23:48:53Z
80870713.0,16544003,1500,2026-02-27T23:48:53Z
80870702.0,16093810,1000,2026-02-27T23:48:53Z
80870702.0,18429545,18000,2026-02-27T23:48:53Z
80870702.0,16544002,2800,2026-02-27T23:48:53Z
80870693.0,16093810,300,2026-02-27T23:48:53Z
80870693.0,18429545,5000,2026-02-27T23:48:53Z
80870693.0,16544003,2000,2026-02-27T23:48:53Z
80870685.0,16093810,1000,2026-02-27T23:48:53Z
80870685.0,18429545,14000,2026-02-27T23:48:53Z
80870685.0,16544002,3500,2026-02-27T23:48:53Z
80870674.0,16093810,400,2026-02-27T23:48:53Z
80870674.0,18429545,8500,2026-02-27T23:48:53Z
80870674.0,16544002,1100,2026-02-27T23:48:53Z
80870674.0,15779592,1800,2026-02-27T23:48:53Z
80870667.0,16093810,300,2026-02-27T23:48:53Z
80870667.0,18429545,2700,2026-02-27T23:48:53Z
80870667.0,16544002,2500,2026-02-27T23:48:53Z
80870658.0,16093810,300,2026-02-27T23:48:53Z
80870658.0,18429545,5000,2026-02-27T23:48:53Z
80870658.0,16544003,1200,2026-02-27T23:48:53Z
80870648.0,16093810,300,2026-02-27T23:48:53Z
80870648.0,18429545,13500,2026-02-27T23:48:53Z
80870648.0,16544002,2200,2026-02-27T23:48:53Z
80870639.0,16093810,300,2026-02-27T23:48:53Z
80870639.0,18429545,13500,2026-02-27T23:48:53Z
80870639.0,16544002,2000,2026-02-27T23:48:53Z
80870630.0,15779592,1500,2026-02-27T23:48:53Z
80870630.0,16093810,300,2026-02-27T23:48:53Z
80870630.0,18429545,14000,2026-02-27T23:48:53Z
80870630.0,16544002,2800,2026-02-27T23:48:53Z
80870622.0,16093810,300,2026-02-27T23:48:53Z
80870622.0,18429545,13500,2026-02-27T23:48:53Z
80870622.0,16544002,2800,2026-02-27T23:48:53Z
80870612.0,16093810,300,2026-02-27T23:48:53Z
80870612.0,18429545,5000,2026-02-27T23:48:53Z
80870612.0,16544003,2500,2026-02-27T23:48:53Z
80870603.0,16093810,300,2026-02-27T23:48:53Z
80870603.0,18429545,14000,2026-02-27T23:48:53Z
80870603.0,16544002,2800,2026-02-27T23:48:53Z
80870593.0,16093810,300,2026-02-27T23:48:53Z
80870593.0,18429545,5000,2026-02-27T23:48:53Z
80870593.0,16544003,2200,2026-02-27T23:48:53Z
80870584.0,16093810,300,2026-02-27T23:48:53Z
80870584.0,18429545,13500,2026-02-27T23:48:53Z
80870584.0,16544002,2800,2026-02-27T23:48:53Z
80870574.0,16093810,400,2026-02-27T23:48:53Z
80870574.0,18429545,8000,2026-02-27T23:48:53Z
80870574.0,16544002,1100,2026-02-27T23:48:53Z
80870574.0,15779592,1800,2026-02-27T23:48:53Z
80870564.0,16093810,1000,2026-02-27T23:48:53Z
80870564.0,18429545,14000,2026-02-27T23:48:53Z
80870564.0,16544002,3800,2026-02-27T23:48:53Z
80870564.0,15779592,2000,2026-02-27T23:48:53Z
80870554.0,16093810,300,2026-02-27T23:48:53Z
80870554.0,18429545,5000,2026-02-27T23:48:53Z
80870554.0,16544003,2200,2026-02-27T23:48:53Z
80870544.0,16093810,300,2026-02-27T23:48:53Z
80870544.0,18429545,14000,2026-02-27T23:48:53Z
80870544.0,16544002,1500,2026-02-27T23:48:53Z
80870535.0,16093810,300,2026-02-27T23:48:53Z
80870535.0,18429545,13500,2026-02-27T23:48:53Z
80870535.0,16544002,2500,2026-02-27T23:48:53Z
80870528.0,16093810,300,2026-02-27T23:48:53Z
80870528.0,18429545,13500,2026-02-27T23:48:53Z
80870528.0,16544002,2000,2026-02-27T23:48:53Z
80870518.0,16093810,300,2026-02-27T23:48:53Z
80870518.0,18429545,5000,2026-02-27T23:48:53Z
80870518.0,16544002,900,2026-02-27T23:48:53Z
80870518.0,16544003,1800,2026-02-27T23:48:53Z
80870509.0,16093810,300,2026-02-27T23:48:53Z
80870509.0,18429545,12500,2026-02-27T23:48:53Z
80870509.0,16544002,1500,2026-02-27T23:48:53Z
80870500.0,16093810,300,2026-02-27T23:48:53Z
80870500.0,18429545,5000,2026-02-27T23:48:53Z
80870500.0,16544003,2000,2026-02-27T23:48:53Z
80870489.0,16093810,300,2026-02-27T23:48:53Z
80870489.0,18429545,14000,2026-02-27T23:48:53Z
80870489.0,16544002,2800,2026-02-27T23:48:53Z
